69,"(in vitro)"
70,"Sakura Leaf’s effect of inhibiting breakdown of elastin fibers"
71,"--"
72,"Inhibits elastase
"
73,"No
Sakura Leaf 
Extract"
74,"With
Sakura Leaf 
Extract"
75,"(in vitro)"
76,"Sakura Leaf is effective in inhibiting the activity of enzyme elastase, which breaks down elastin fibers.  Elastin fibers are important to skin’s resilience."
77,"Antioxidant effect"
78,"Higher"
79,"Antioxidant effect"
80,"Without Premium
Uji Green Tea
Extract"
81,"With Premium Uji 
Green Tea Extract"
82,"(in vitro)"
83,"Effect of suppressing cell damage caused by UV rays"
84,"Higher"
85,"Effect of suppressing cell damage caused by UV rays"
86,"Without Premium
Uji Green Tea
Extract"
87,"With Premium Uji 
Green Tea Extract"
88,"(in vitro)"
89,"YUTAKA Treatment Menu"
90,"Concept"
91,"YUTAKA Treatment "
92,"Essential Treatment"
93,"Ultimate Brightening"
94,"Ultimate Brightening with hand treatment"
95,"Ultimate Moisture Firming "
96,"Ultimate Moisture Firming with hand treatment"
97,"YUTAKA Express"
98,"Essential Express"
99,"Brightening Express"
100,"Moisture Firming Express"
101,"Concept"
102,"Indulge all five senses in an extraordinary experience,featuring the next generation of Future Solution LX formulas.
Delight in the soothing touch of the artisanal Yutaka stone massage tool (made from Kyushu clay), while relaxing to the sounds of the Mt. Koya mountain streams.
Pure indulgence for your skin."
103,"Tool"
104,"Music"
105,"Smell"
106,"Tool"
107,"The two fine quality YUTAKA tools are made especially for Shiseido, in Japan’s traditional Imari Nabeshima porcelain manufacturing region. Made using a painstaking , hand-made process,  each one is a real masterpiece. 
The YUTAKA MASSAGER is designed for the face, neck, décolleté, and upper arm.  The YUTAKA STONE goes on the stomach to warm the body. Both tools are heated before use to provide thermal stimulation which ensures a truly extraordinary experience.
"
108,"Music"
109,"YUTAKA OMOTENASHI SOUND flows with the rhythm of the massage therapist’s arm movements, a technology unique to SHISEIDO. 
The composition includes natural sounds recorded at Mount Koya, one of Japan’s most spiritual sites. 
These sounds create an immersive relaxation effect that deepens the skincare experience.
"
110,"A complete sensory experience"
111,"The exceptionality of precious Japanese flora, uniting and balancing — 
an aura of richness and decadence that delicately envelopes all that it impacts."
112,"Cherry Blossom
Sakura"
113,"Plum Blossom
Ume"
114,"Japanese Rose
Hamanasu"
115,"YUTAKA Treatment "
116,"Essential Treatment"
117,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
118,"所用時間"
119,"50-minute"
120,"Items"
121,"YUTAKA Treatment "
122,"Ultimate Brightening"
123,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
124,"所用時間"
125,"50-minute"
126,"Items"
127,"YUTAKA Treatment "
128,"Ultimate Brightening with hand treatment"
129,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
130,"所用時間"
131,"50-minute"
132,"Items"
133,"YUTAKA Treatment "
134,"Ultimate Moisture Firming "
135,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
136,"所用時間"
137,"50-minute"
138,"Items"
139,"YUTAKA Treatment "
140,"Ultimate Moisture Firming with hand treat"
141,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
142,"所用時間"
143,"50-minute"
144,"Items"
145,"YUTAKA Express"
146,"Essential Express"
147,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
148,"所用時間"
149,"50-minute"
150,"Items"
151,"YUTAKA Express"
152,"Brightening Express"
153,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
154,"所用時間"
155,"50-minute"
156,"Items"
157,"YUTAKA Express"
158,"Moisture Firming Express"
159,"An idyllic 50-minute treatment for resetting and refreshing the mind, body & soul. Cleansing, softening, relaxing, regenerating and protective, this essential experience also includes an Intensive Treatment Mask addressing stressed out, tired skin. Suited to all skin types in dire need of attention."
160,"所用時間"
161,"50-minute"
162,"Items"
163,
164,
